,0
0,2
1,3
2,1
3,3
4,3
5,3
6,3
7,2
8,2
9,2
10,4
11,2
12,2
13,2
14,2
15,2
16,2
17,6
18,2
19,4
20,3
21,1
22,4
23,4
24,3
25,4
26,2
27,3
28,3
29,2
30,8
31,3
32,5
33,1
34,2
35,3
36,4
