,0
0,-4.62
1,-4.689999999999999
2,-4.929999999999999
3,-4.64
4,-4.760000000000001
5,-4.6000000000000005
6,-4.799999999999999
7,-4.620000000000001
8,-4.63
9,-4.629999999999999
10,-4.61
11,-4.6
12,-4.669999999999999
13,-4.629999999999999
14,-4.689999999999999
15,-4.62
16,-4.7
17,-4.679999999999999
18,-4.649999999999999
19,-4.66
20,-4.619999999999999
21,-4.77
22,-4.760000000000001
23,-4.759999999999999
24,-4.630000000000001
