Crossover Operator,Mutation Operator,Maximum Fitness,Time,Fitness Change per Time
OXR,Two_Opt_Swap,-5.110000000000001,69.20398211479187,0.0506473745135951
OXR,Two_Opt_Swap,-4.575000000000001,69.45103478431702,0.0604742609385629
OXR,Two_Opt_Flip,-4.645,70.13604187965393,0.0600974889234909
OXR,Two_Opt_Flip,-4.800000000000001,71.04277992248535,0.055389161351702
OXR,Two_Opt_Flip,-4.51,71.14149618148804,0.0540472186611183
OXR,Two_Opt_Flip,-4.885,70.91788482666016,0.0558392288444468
OXR,Two_Opt_Flip,-4.99,71.27963304519653,0.0472084360741074
OXR,Two_Opt_Flip,-4.82,71.28058981895447,0.0548536426246052
OXR,Two_Opt_Flip,-5.305,71.16437792778015,0.0415235836530297
OXR,Two_Opt_Flip,-4.250000000000001,72.34458208084106,0.0671784929874806
OXR,Two_Opt_Flip,-5.465,70.7496109008789,0.0347705092462839
OXR,Two_Opt_Flip,-5.18,70.54052662849426,0.045080468660911
OXR,Two_Opt_Flip,-4.590000000000001,70.84877586364746,0.0599163492700247
OXR,Two_Opt_Flip,-5.375,69.98112297058105,0.0410825073671453
OXR,Two_Opt_Flip,-4.805000000000001,70.3884871006012,0.0613736731381331
OXR,Two_Opt_Flip,-4.575,70.46851396560669,0.0563372175257963
OXR,Two_Opt_Flip,-4.61,70.1092278957367,0.05427245619733
OXR,Two_Opt_Flip,-4.475000000000001,69.93165898323059,0.0516218269734694
OXR,Two_Opt_Flip,-5.1000000000000005,69.85749793052673,0.0567584027120924
OXR,Two_Opt_Flip,-5.085,70.15602612495422,0.0475369000242411
OXR,Two_Opt_Flip,-5.045,70.00146007537842,0.0519989153951989
OXR,Two_Opt_Flip,-5.305,70.08336806297302,0.0493697733946096
OXR,Two_Opt_Flip,-4.375,69.98798942565918,0.0634394563472371
OXR,Two_Opt_Flip,-4.44,69.67712903022766,0.0622155370109949
OXR,Two_Opt_Flip,-4.415,70.60798287391663,0.0579962751139962
OXR,Two_Opt_Flip,-5.265000000000001,69.76696109771729,0.0520303585377
OXR,Two_Opt_Flip,-4.97,69.99875903129578,0.0484294299915283
OXR,Two_Opt_Flip,-4.585000000000001,69.84637904167175,0.0632101486229647
OXR,Two_Opt_Flip,-4.94,70.13058304786682,0.0523309495016615
OXR,Two_Opt_Flip,-4.565,70.66230988502502,0.0586592768725555
OXR,Two_Opt_Flip,-4.47,69.99374413490295,0.0622912812264582
OXR,Two_Opt_Flip,-5.415,70.23138499259949,0.0437126506948922
OXC,Two_Opt_Swap,-4.699999999999999,73.37958312034607,0.056487102048563
OXC,Two_Opt_Swap,-5.155,80.622065782547,0.0391332071359921
OXC,Two_Opt_Swap,-4.910000000000001,69.6839509010315,0.0535991422946816
OXC,Two_Opt_Swap,-4.694999999999999,76.62094402313232,0.0531186355361432
OXC,Two_Opt_Swap,-4.855,70.78470611572266,0.0546728271171051
OXC,Two_Opt_Swap,-4.505,85.9661157131195,0.0493799209698637
OXC,Two_Opt_Swap,-4.654999999999999,74.57705783843994,0.0553789613013029
OXC,Two_Opt_Swap,-5.190000000000001,69.09867811203003,0.0512310813567313
OXC,Two_Opt_Swap,-5.265000000000001,68.62886095046997,0.0467004690972953
OXC,Two_Opt_Swap,-4.529999999999999,67.71832704544067,0.0654918718978985
OXC,Two_Opt_Swap,-4.515000000000001,67.63543701171875,0.0598059268737947
OXC,Two_Opt_Swap,-5.34,68.14749479293823,0.0510657069724097
OXC,Two_Opt_Swap,-4.790000000000001,68.62105202674866,0.0466329195704057
OXC,Two_Opt_Swap,-4.93,67.5437490940094,0.0549273626318301
OXC,Two_Opt_Swap,-4.51,68.17977285385132,0.0565416961459155
OXC,Two_Opt_Swap,-4.8500000000000005,67.48853492736816,0.0568244666168448
OXC,Two_Opt_Swap,-4.745,67.97659921646118,0.0572255753426687
OXC,Two_Opt_Swap,-5.15,68.18619704246521,0.0522833088605862
OXC,Two_Opt_Swap,-4.680000000000001,67.88029193878174,0.0556126070200833
OXC,Two_Opt_Swap,-4.715,68.53933191299438,0.0607680274048652
OXC,Two_Opt_Swap,-5.285,68.25966095924377,0.0484180547274229
OXC,Two_Opt_Swap,-4.865000000000001,68.07483911514282,0.0508998632246378
OXC,Two_Opt_Swap,-5.605,68.72921991348267,0.0410305835501967
OXC,Two_Opt_Swap,-5.615,68.5507161617279,0.0347188203604612
OXC,Two_Opt_Swap,-4.575,67.4936170578003,0.060153836421644
OXC,Two_Opt_Swap,-4.795,67.33417415618896,0.0497518539728327
OXC,Two_Opt_Swap,-5.110000000000001,67.59639191627502,0.0535531542050903
OXC,Two_Opt_Swap,-5.095,72.33997797966003,0.0537738620973006
OXC,Two_Opt_Swap,-5.055000000000001,68.88845896720886,0.0463793217020696
OXC,Two_Opt_Swap,-4.665,67.95512795448303,0.0623941139929865
OXC,Two_Opt_Flip,-4.535,82.74895405769348,0.049426606614851
OXC,Two_Opt_Flip,-4.515,77.6602029800415,0.0534379236823079
OXC,Two_Opt_Flip,-4.6850000000000005,74.62578010559082,0.0594968654762158
OXC,Two_Opt_Flip,-4.735,68.33743071556091,0.055825920876058
OXC,Two_Opt_Flip,-5.050000000000001,68.32913303375244,0.060369564442774
OXC,Two_Opt_Flip,-4.395,70.16071009635925,0.0659913503389735
OXC,Two_Opt_Flip,-5.18,78.21921110153198,0.0491567218059643
OXC,Two_Opt_Flip,-4.305000000000001,77.71761512756348,0.0621480727640982
OXC,Two_Opt_Flip,-4.669999999999999,72.46593427658081,0.0525074303945003
OXC,Two_Opt_Flip,-5.175000000000001,72.4329788684845,0.0505294695479169
OXC,Two_Opt_Flip,-4.565,79.22196578979492,0.058948297400133
OXC,Two_Opt_Flip,-4.9750000000000005,72.15296006202698,0.0567544283211623
OXC,Two_Opt_Flip,-4.555000000000001,74.34385299682617,0.0588481740405191
OXC,Two_Opt_Flip,-4.779999999999999,69.00075697898865,0.0568834339193583
OXC,Two_Opt_Flip,-4.975,71.86746025085449,0.0528751118619753
OXC,Two_Opt_Flip,-4.835,73.04651808738708,0.0463403333742814
OXC,Two_Opt_Flip,-4.615,70.62211513519287,0.046798371780188
OXC,Two_Opt_Flip,-4.265,80.90226793289185,0.0548192295879618
OXC,Two_Opt_Flip,-4.63,80.70476698875427,0.0491916419330372
OXC,Two_Opt_Flip,-4.780000000000001,74.07006788253784,0.049952701621221
OXC,Two_Opt_Flip,-4.92,73.87701177597046,0.0448041944365246
OXC,Two_Opt_Flip,-4.800000000000001,75.38204574584961,0.0560478288722035
OXC,Two_Opt_Flip,-4.96,72.29683685302734,0.0621742277485515
OXC,Two_Opt_Flip,-4.665,74.0514931678772,0.0584728249865772
OXC,Two_Opt_Flip,-4.555000000000001,76.38011407852173,0.0533515830548608
OXC,Two_Opt_Flip,-4.625000000000001,89.53272223472595,0.0489765070306244
OXC,Two_Opt_Flip,-4.41,83.62676787376404,0.0542888373595067
OXC,Two_Opt_Flip,-4.79,95.32182216644289,0.0426974632618049
OXC,Two_Opt_Flip,-4.265000000000001,81.96632528305054,0.0506915490678852
OXC,Two_Opt_Flip,-4.315,82.42107200622559,0.0530204217638654
