Crossover Operator,Mutation Operator,Maximum Fitness,Time,Fitness Change per Time
OX1,Two_Opt_Swap,-5.319999999999999,110.88605904579164,0.0284075385770466
OX1,Two_Opt_Swap,-5.04,110.52043199539185,0.031532630999355
OX1,Two_Opt_Swap,-5.39,107.64823293685912,0.0310734315719051
OX1,Two_Opt_Swap,-4.465000000000001,107.97341585159302,0.0321375402698145
OX1,Two_Opt_Swap,-4.82,112.29483699798584,0.0409190673662264
OX1,Two_Opt_Swap,-4.735,112.03305292129517,0.0338293021673035
OX1,Two_Opt_Swap,-4.960000000000001,112.8565707206726,0.0327406723100364
OX1,Two_Opt_Swap,-4.715,108.6729907989502,0.0362095491351657
OX1,Two_Opt_Swap,-4.96,113.65349197387695,0.0277158224115456
OX1,Two_Opt_Swap,-5.19,132.04762077331543,0.0261269379924881
OX1,Two_Opt_Swap,-5.970000000000001,113.05474710464478,0.0239706873829153
OX1,Two_Opt_Swap,-4.595000000000001,115.8504283428192,0.0330598691328653
OX1,Two_Opt_Swap,-5.64,121.78366732597352,0.0258244809756131
OX1,Two_Opt_Swap,-5.145,137.5850601196289,0.0223861515001844
OX1,Two_Opt_Swap,-5.01,123.61210322380066,0.0289211161914091
OX1,Two_Opt_Swap,-5.09,127.31012678146362,0.0302803877229449
OX1,Two_Opt_Swap,-4.915,129.83393502235413,0.0317713546869682
OX1,Two_Opt_Swap,-4.93,121.87542700767516,0.0278973381548512
OX1,Two_Opt_Swap,-4.57,115.74579000473022,0.0332625488999873
OX1,Two_Opt_Swap,-5.365,119.15759205818176,0.0277783391123228
OX1,Two_Opt_Swap,-4.575000000000001,107.28257203102112,0.0433434798585499
OX1,Two_Opt_Swap,-4.675000000000001,113.7919270992279,0.0357230965642692
OX1,Two_Opt_Swap,-6.0,118.52825617790222,0.0178860304568898
OX1,Two_Opt_Swap,-5.245,119.10570907592772,0.0277904394817038
OX1,Two_Opt_Swap,-5.0600000000000005,122.14929103851318,0.0295539987936711
OX1,Two_Opt_Swap,-4.834999999999999,137.6708722114563,0.0274931068511457
OX1,Two_Opt_Swap,-4.76,106.46524500846864,0.0327336869390831
OX1,Two_Opt_Swap,-4.99,107.18948602676392,0.0353579454523523
OX1,Two_Opt_Swap,-4.94,104.58553695678712,0.0370988199028241
OX1,Two_Opt_Swap,-4.770000000000001,104.20180010795592,0.0332527844663927
OX1,Two_Opt_Flip,-4.3100000000000005,82.64552211761475,0.055356901169905
OX1,Two_Opt_Flip,-4.67,71.13439989089966,0.0535605839909168
OX1,Two_Opt_Flip,-4.8950000000000005,70.6100218296051,0.0538875346786063
OX1,Two_Opt_Flip,-5.494999999999999,70.27962303161621,0.0472398663622093
OX1,Two_Opt_Flip,-4.895,70.3971700668335,0.0558261077294576
OX1,Two_Opt_Flip,-4.800000000000001,70.23349809646606,0.0569528801556484
OX1,Two_Opt_Flip,-4.49,70.62610793113708,0.0681051262896989
OX1,Two_Opt_Flip,-5.0600000000000005,70.48326396942139,0.0534169359925416
OX1,Two_Opt_Flip,-4.4,70.4085578918457,0.0653329671524595
OX1,Two_Opt_Flip,-5.160000000000001,70.49521803855896,0.0451094427179532
OX1,Two_Opt_Flip,-5.065,71.34981513023376,0.0569027402886656
OX1,Two_Opt_Flip,-5.085000000000001,71.91770696640015,0.0459553027955144
OX1,Two_Opt_Flip,-5.15,71.0329999923706,0.04814663607573
OX1,Two_Opt_Flip,-4.880000000000001,71.42266082763672,0.0554445879516671
OX1,Two_Opt_Flip,-4.99,71.43857502937317,0.047943285523147
OX1,Two_Opt_Flip,-4.91,71.85060787200928,0.0501735490731233
OX1,Two_Opt_Flip,-4.75,71.46684694290161,0.057858995840458
OX1,Two_Opt_Flip,-5.07,70.77188396453857,0.0458515418584301
OX1,Two_Opt_Flip,-5.2250000000000005,75.22713494300842,0.040344484770014
OX1,Two_Opt_Flip,-4.37,71.35230898857117,0.0564102277425206
OX1,Two_Opt_Flip,-4.965000000000001,71.11943078041077,0.0535718573418254
OX1,Two_Opt_Flip,-4.855,70.9960150718689,0.0526085864991024
OX1,Two_Opt_Flip,-5.279999999999999,71.31818580627441,0.0501975752681729
