,0
0,-4.960666666666667
1,-8.276666666666667
2,-6.934666666666668
3,-6.748
4,-7.890666666666666
5,-8.931333333333333
6,-4.193333333333333
7,-5.980000000000002
8,-7.141333333333333
9,-4.285333333333333
10,-5.947333333333334
11,-7.932
12,-4.435999999999999
13,-5.6240000000000006
14,-3.4820000000000007
15,-5.539333333333333
16,-6.766
